iter	Passed	Remaining
174	412	766
175	414	763
176	417	761
177	418	757
178	420	754
179	422	751
180	424	748
181	426	745
182	428	741
183	430	738
184	432	735
185	434	732
186	435	729
187	437	726
188	439	723
189	441	719
190	442	716
191	444	713
192	446	710
193	448	708
194	450	704
195	452	701
196	454	698
197	455	695
198	457	692
199	459	689
200	461	686
201	463	683
202	465	681
203	467	677
204	468	674
205	470	671
206	472	669
207	474	666
208	476	663
209	478	660
210	480	657
211	482	655
212	484	652
213	485	649
214	488	647
215	490	644
216	492	641
217	493	638
218	496	636
219	497	633
220	499	630
221	501	627
222	503	625
223	505	622
224	506	619
225	508	616
226	510	613
227	512	611
228	514	608
229	516	605
230	517	603
231	519	600
232	521	597
233	523	594
234	525	592
235	526	589
236	528	586
237	530	584
238	532	581
239	534	578
240	536	576
241	538	573
242	539	571
243	541	568
244	543	565
245	545	563
246	547	560
247	549	558
248	551	555
249	553	553
250	555	550
251	557	548
252	558	545
253	560	542
254	562	540
255	564	538
256	566	535
257	568	533
258	570	530
259	572	528
260	573	525
261	575	523
262	577	520
263	579	518
264	581	515
265	583	513
266	585	511
267	587	508
268	589	506
269	591	504
270	593	501
271	595	498
272	596	496
273	599	494
274	601	491
275	602	489
276	604	486
277	606	484
278	608	482
279	610	479
280	612	477
281	614	474
282	616	472
283	617	469
284	619	467
285	621	464
286	623	462
287	624	460
288	626	457
289	628	455
290	630	452
291	632	450
292	634	448
293	636	445
294	638	443
295	640	441
296	641	438
297	643	436
298	645	434
299	647	431
300	649	429
301	650	426
302	652	424
303	654	422
304	656	419
305	658	417
306	660	415
307	662	412
308	663	410
309	665	407
310	667	405
311	669	403
312	671	400
313	673	398
314	676	397
315	679	395
316	682	394
317	685	392
318	689	390
319	691	388
320	693	386
321	705	390
322	760	416
323	771	419
324	775	417
325	777	415
326	824	436
327	841	441
328	846	440
329	853	439
330	856	437
331	858	434
332	861	432
333	863	429
334	865	426
335	867	423
336	869	420
337	870	417
338	872	414
339	874	411
340	876	408
341	878	405
342	880	403
343	883	400
344	885	397
345	887	395
346	889	392
347	891	389
348	893	386
349	895	383
350	897	381
351	899	378
352	901	375
353	903	372
354	905	369
355	907	366
356	909	364
357	911	361
358	913	358
359	916	356
360	918	353
361	919	350
362	921	347
363	923	345
364	925	342
365	927	339
366	929	336
367	930	333
368	932	331
369	934	328
370	936	325
371	938	323
372	940	320
373	942	317
374	944	314
375	946	312
376	948	309
377	950	306
378	952	304
379	955	301
380	957	298
381	959	296
382	962	293
383	963	291
384	965	288
385	967	285
386	969	283
387	971	280
388	973	277
389	975	275
390	977	272
391	979	269
392	981	267
393	983	264
394	986	262
395	988	259
396	990	256
397	992	254
398	994	251
399	996	249
400	998	246
401	999	243
402	1002	241
403	1004	238
404	1005	235
405	1007	233
406	1009	230
407	1011	228
408	1013	225
409	1015	222
410	1017	220
411	1019	217
412	1021	215
413	1022	212
414	1024	209
415	1026	207
416	1028	204
417	1030	202
418	1032	199
419	1034	197
420	1036	194
421	1038	191
422	1040	189
423	1043	186
424	1044	184
425	1046	181
426	1048	179
427	1051	176
428	1053	174
429	1055	171
430	1057	169
431	1058	166
432	1060	164
433	1062	161
434	1064	159
435	1066	156
436	1068	154
437	1070	151
438	1072	149
439	1074	146
440	1076	144
441	1078	141
442	1080	139
443	1082	136
444	1084	134
445	1086	131
446	1088	129
447	1090	126
448	1092	124
449	1093	121
450	1095	119
451	1097	116
452	1099	114
453	1101	111
454	1103	109
455	1105	106
456	1107	104
457	1109	101
458	1111	99
459	1112	96
460	1114	94
461	1116	91
462	1118	89
463	1120	86
464	1122	84
465	1124	82
466	1126	79
467	1128	77
468	1130	74
469	1132	72
470	1134	69
471	1136	67
472	1138	64
473	1140	62
474	1142	60
475	1144	57
476	1146	55
477	1148	52
478	1150	50
479	1151	47
480	1153	45
481	1155	43
482	1157	40
483	1159	38
484	1161	35
485	1163	33
486	1165	31
487	1167	28
488	1168	26
489	1170	23
490	1173	21
491	1176	19
492	1180	16
493	1185	14
494	1188	12
495	1192	9
496	1196	7
497	1200	4
498	1203	2
499	1208	0
